QUERY,ANSWER
What is the capital of Finland?,Helsinki
What is the name of Bridget Jones' baby in the third Bridget Jones film?,William
At the time of writing (March 2022) how many episodes of The Simpsons are there?,720
Which five colours make up the Olympic rings?,"Black, green, blue, yellow and red"
In which decade was Madonna born? ,The 1950s (1958)
What is the most sold flavour of Walker's crisps?,Cheese and Onion
 What's the biggest animal in the world?,The blue whale 
"For one point, put the following Kardashian-Jenners in order of age, oldest to youngest: Khloe, Kylie, Rob, Kourtney, Kendall, Kim, Kris ","Oldest to youngest: Kris, 64, Kourtney, 41, Kim, 39, Khloe, 35, Rob, 33, Kendall, 24, Kylie, 22"
How many times has Andy Murray won Wimbledon playing singles?,Twice - in 2013 against Novak Djokovic and in 2016 against Milos Raonic
Which country is brie cheese originally from?,France
In what franchise would you find the character Katniss Everdeen?,The Hunger Games
What year was Heinz established? ,1869 
What is the capital of Iceland?,Reykjavík 
Who came second in the FIFA Women's World Cup in 2019?,Netherlands
What year did Margaret Thatcher die?,"2013, on the 8th April "
What does IPA stand for?,Indian Pale Ale
 Who painted the Mona Lisa?,Leonardo da Vinci  
Which planet is closest to the sun?,Mercury
What is Queen Elizabeth II's surname?,Windor. Her full name is Elizabeth Alexandra Mary Windsor
Who plays Delboy Trotter in Only Fools And Horses?,David Jason
What is the largest country in the world?,Russia
Which fashion designer reportedly had a relationship with Winston Churchill?,Coco Chanel
How many valves does the heart have?,"Four - the mitral, tricuspid, aortic and pulmonic valves"
What is the name of the school in Sex Education?,Moordale High 
"In Harry Potter, what is the name of The Weasley's house?",The Burrow 
"Put these Tom Hanks films in chronological order: Catch Me If You Can, Forrest Gump, The Terminal, Bridge Of Spies","Forrest Gump (1994), Catch Me If You Can (2002), The Terminal (2004), Bridge Of Spies (2015)"
"Typically, what four ingredients go into a cosmopolitan cocktail? (For one point)","Fresh lime juice, vodka, cranberry juice,  triple sec/cointreau/orange liqueur"
Who has been the First Minister of Wales since December 2018?,Mark Drakeford 
Which city had the first ever fashion week?,"New York, in 1943"
What nut is in the middle of a Ferrero Rocher? ,Hazelnut
What's a baby rabbit called?,A kit
How many minutes in a game of rugby league? ,80 minutes
"Typically, what's the strongest muscle in the human body?",The masseter - the main jaw muscle 
Name one landlocked country in Europe,"Any of the following 14 countries: Andorra, Austria, Belarus, Czech Republic, Hungary, Liechtenstein, Luxembourg, Macedonia, Moldova, San Marino, Serbia, Slovakia, Switzerland, and Vatican City."
Who did Anne Hathaway play in Les Miserables?,Fantine
What fruit takes the scientific name Mangifera indica?,Mango  
What does He stand for on the periodic table?,Helium
What does LGBTQ stand for?,"Lesbian, gay, bisexual, transgender, and questioning (or queer)"
"What did Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams collectively create?",Twitter
"To a single decimal point, many kilometers in a mile?",1.6km 
Where in England would you find the themepark Dreamland?,Margate
What month was Prince George born?,July 
"For two points, if all of the states of America were placed in alphabetical order, what would be first and last?",First: Alabama. Last: Wyoming
Who is the highest spiritual leader of Tibet?,The Dalai Lama
What is the Papaver Rhoeas flower better known as?,A poppy!
"Who plays Emily in the hit Netflix show, Emily In Paris?",Lily Collins
Which rapper's real name is Dylan Kwabena Mills?,Dizzee Rascal
Who is manager of the England football team as of 2020?,Gareth Southgate 
"For one point, which of these actors is Scottish? Jamie Dornan, Michael Sheen, James McAvoy, Daniel Craig"," James McAvoy is Scottish. Jamie Dornan is Irish, Michael Sheen is Welsh and Christian Bale is English. "
How many episodes of Scrubs were there? Closest wins the point. ,181 episodes. 
"What year was Google images invented, and for a bonus point, what prompted its creation?","July 2001, as a result of mass Google searches in February 2000 when Jennifer Lopez wore a jungle print dress, designed by Donatella Versace, to the Grammy Awards. "
What was the most streamed show on Netflix in 2020?,"The Umbrella Academy season 2, with 43million streams."
How many Olympic gold medals does Sir Mo Farah have?,"Four Olympic gold medals. He first was at the London 2012 Olympic games when he finished the 10,000m in a time of 27:30.42. He won gold the same year for the Men's 5,000m, which he completed in 13:41:66. At the Rio 2016 Olympics, he won another gold medal for the 10,000m, and a fourth gold medal for the 5,000m. "
How many elements are there in the periodic table?,118 elements 
What relationship were Monica and Ross in Friends?,Brother and sister
Where was the mojito cocktail created?,Cuba
What are the three water signs in astrology?,"Cancer, Scorpio, and Pisces"
What is the name of the person who does the voiceovers on Love Island?,Iain Sterling
What was the name of Britney Spears' first single?,Baby One More Time
"Which supermodel was born in Streatham, London?",Naomi Campbell
How many sides does a heptadecagon have?,Seventeen
Which London Underground line has the most stations?,District Line (60 stations)
How many bones does a shark have?,None (a shark’s skeleton is made entirely of cartilage)
What star sign would someone born on August 24th be?,Virgo (August 23 - September 22)
What does the AC button on a calculator stand for?,All clear
"Which book begins with the line, ""Last night I dreamt I went to Manderley again…""","Rebecca, by Daphne Du Maurier"
"In cockney rhyming slang, what is a ‘dog and bone’?",A phone 
Who is older Jeremy Corbyn or Theresa May?,"Jeremy Corbyn (born 1949, Theresa May was born 1956)"
What did Snickers bars used to be called before the name was changed in 1990?,Marathon bars
Including the recruiter round how many games were there in Squid Game?,"Seven - recruiter round, red light - green light, honeycomb, tug of war, marbles, glass stepping stones, squid game."
How old was Emma Raducanu when she won the US Open in 2021?,Eighteen
What grain is the Japanese spirit Sake made from?,Rice
What was the most popular girls name in the UK in 2020?,Olivia
What is Scooby Doo's full name?,Scoobert Doo
What is the name for a donkey crossed with a zebra?,A zeedonk
"Who is Taylor Swift's ""We are never ever getting back together"" rumoured to be about?",Jake Gyllenhaal
Which is the highest grossing Harry Potter film?,Harry Potter and the Deathly Hallows - Part 2
How many time zones are there in Russia?,Eleven
"Which novel begins, ""It was a bright cold day in April, and the clocks were striking thirteen.""",1984
Which UK city is Banksy from?,Bristol
Who invented the World Wide Web in 1990?,Tim Berners-Lee
Which country's rugby team is known as The Springboks?,South Africa
What does a Geiger Counter measure?,Radiation
What is the smallest country in the world?,Vatican City
"Aside from the six main characters, which character appears the most on Friends?",Gunther
